Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
1641, Count Sorted Vowel Strings,"['Math', 'Dynamic Programming', '1+']",78.70%,False,Medium,https://leetcode.com/problems/count-sorted-vowel-strings/description,https://leetcode.com/problems/count-sorted-vowel-strings/solutions,count-sorted-vowel-strings,"[{""input"": ""n = 1"", ""expectedOutput"": ""5""}, {""input"": ""n = 2"", ""expectedOutput"": ""15""}, {""input"": ""n = 33"", ""expectedOutput"": ""66045""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1642, Furthest Building You Can Reach,"['Array', 'Greedy', 'Heap (Priority Queue)']",50.00%,False,Medium,https://leetcode.com/problems/furthest-building-you-can-reach/description,https://leetcode.com/problems/furthest-building-you-can-reach/solutions,furthest-building-you-can-reach,"[{""input"": ""heights = [4,2,7,6,9,14,12], bricks = 5, ladders = 1"", ""expectedOutput"": ""4""}, {""input"": ""heights = [4,12,2,7,3,18,20,3,19], bricks = 10, ladders = 2"", ""expectedOutput"": ""7""}, {""input"": ""heights = [14,3,19,3], bricks = 17, ladders = 0"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1643, Kth Smallest Instructions,"['Array', 'Math', '2+']",48.60%,False,Hard,https://leetcode.com/problems/kth-smallest-instructions/description,https://leetcode.com/problems/kth-smallest-instructions/solutions,kth-smallest-instructions,"[{""input"": ""destination = [2,3], k = 1"", ""expectedOutput"": ""\""HHHVV \""""}, {""input"": ""destination = [2,3], k = 2"", ""expectedOutput"": ""\""HHVHV \""""}, {""input"": ""destination = [2,3], k = 3"", ""expectedOutput"": ""\""HHVVH \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1644, Lowest Common Ancestor of a Binary Tree II,"['Tree', 'Depth-First Search', 'Binary Tree']",65.50%,True,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/description,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/solutions,lowest-common-ancestor-of-a-binary-tree-ii,"[{""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1"", ""expectedOutput"": ""3""}, {""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 4"", ""expectedOutput"": ""5""}, {""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 10"", ""expectedOutput"": ""null""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1645, Hopper Company Queries II,['Database'],39.20%,True,Hard,https://leetcode.com/problems/hopper-company-queries-ii/description,https://leetcode.com/problems/hopper-company-queries-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1646, Get Maximum in Generated Array,"['Array', 'Simulation']",50.70%,False,Easy,https://leetcode.com/problems/get-maximum-in-generated-array/description,https://leetcode.com/problems/get-maximum-in-generated-array/solutions,get-maximum-in-generated-array,"[{""input"": ""n = 7"", ""expectedOutput"": ""3""}, {""input"": ""n = 2"", ""expectedOutput"": ""1""}, {""input"": ""n = 3"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1647, Minimum Deletions to Make Character Frequencies Unique,"['Hash Table', 'String', 'Greedy', '1+']",61.30%,False,Medium,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/description,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/solutions,minimum-deletions-to-make-character-frequencies-unique,"[{""input"": ""s =  \""aab \"""", ""expectedOutput"": ""0""}, {""input"": ""s =  \""aaabbbcc \"""", ""expectedOutput"": ""2""}, {""input"": ""s =  \""ceabaacb \"""", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1648, Sell Diminishing-Valued Colored Balls,"['Array', 'Math', 'Binary Search', '3+']",30.00%,False,Medium,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/description,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/solutions,sell-diminishing-valued-colored-balls,"[{""input"": ""inventory = [2,5], orders = 4"", ""expectedOutput"": ""14""}, {""input"": ""inventory = [3,5], orders = 6"", ""expectedOutput"": ""19""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1649, Create Sorted Array through Instructions,"['Array', 'Binary Search', '5+']",39.40%,False,Hard,https://leetcode.com/problems/create-sorted-array-through-instructions/description,https://leetcode.com/problems/create-sorted-array-through-instructions/solutions,create-sorted-array-through-instructions,"[{""input"": ""instructions = [1,5,6,2]"", ""expectedOutput"": ""1""}, {""input"": ""instructions = [1,2,3,6,5,4]"", ""expectedOutput"": ""3""}, {""input"": ""instructions = [1,3,3,3,2,4,2,1,2]"", ""expectedOutput"": ""4""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1650, Lowest Common Ancestor of a Binary Tree III,"['Hash Table', 'Two Pointers', 'Tree', '1+']",80.90%,True,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/solutions,lowest-common-ancestor-of-a-binary-tree-iii,"[{""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1"", ""expectedOutput"": ""3""}, {""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 4"", ""expectedOutput"": ""5""}, {""input"": ""root = [1,2], p = 1, q = 2"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1651, Hopper Company Queries III,['Database'],65.50%,True,Hard,https://leetcode.com/problems/hopper-company-queries-iii/description,https://leetcode.com/problems/hopper-company-queries-iii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1652, Defuse the Bomb,"['Array', 'Sliding Window']",67.30%,False,Easy,https://leetcode.com/problems/defuse-the-bomb/description,https://leetcode.com/problems/defuse-the-bomb/solutions,defuse-the-bomb,"[{""input"": ""code = [5,7,1,4], k = 3"", ""expectedOutput"": ""[12,10,16,13]""}, {""input"": ""code = [1,2,3,4], k = 0"", ""expectedOutput"": ""[0,0,0,0]""}, {""input"": ""code = [2,4,9,3], k = -2"", ""expectedOutput"": ""[12,5,6,13]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1653, Minimum Deletions to Make String Balanced,"['String', 'Dynamic Programming', 'Stack']",65.80%,False,Medium,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/description,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/solutions,minimum-deletions-to-make-string-balanced,"[{""input"": ""s =  \""aababbab \"""", ""expectedOutput"": ""2""}, {""input"": ""s =  \""bbaaaaabb \"""", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1654, Minimum Jumps to Reach Home,"['Array', 'Dynamic Programming', '1+']",29.80%,False,Medium,https://leetcode.com/problems/minimum-jumps-to-reach-home/description,https://leetcode.com/problems/minimum-jumps-to-reach-home/solutions,minimum-jumps-to-reach-home,"[{""input"": ""forbidden = [14,4,18,1,15], a = 3, b = 15, x = 9"", ""expectedOutput"": ""3""}, {""input"": ""forbidden = [8,3,16,6,12,20], a = 15, b = 13, x = 11"", ""expectedOutput"": ""-1""}, {""input"": ""forbidden = [1,6,2,14,5,17,4], a = 16, b = 9, x = 7"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1655, Distribute Repeating Integers,"['Array', 'Dynamic Programming', '3+']",39.90%,False,Hard,https://leetcode.com/problems/distribute-repeating-integers/description,https://leetcode.com/problems/distribute-repeating-integers/solutions,distribute-repeating-integers,"[{""input"": ""nums = [1,2,3,4], quantity = [2]"", ""expectedOutput"": ""false""}, {""input"": ""nums = [1,2,3,3], quantity = [2]"", ""expectedOutput"": ""true""}, {""input"": ""nums = [1,1,2,2], quantity = [2,2]"", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1656, Design an Ordered Stream,"['Array', 'Hash Table', 'Design', '1+']",84.40%,False,Easy,https://leetcode.com/problems/design-an-ordered-stream/description,https://leetcode.com/problems/design-an-ordered-stream/solutions,design-an-ordered-stream,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1657, Determine if Two Strings Are Close,"['Hash Table', 'String', 'Sorting', '1+']",54.30%,False,Medium,https://leetcode.com/problems/determine-if-two-strings-are-close/description,https://leetcode.com/problems/determine-if-two-strings-are-close/solutions,determine-if-two-strings-are-close,"[{""input"": ""word1 =  \""abc \"", word2 =  \""bca \"""", ""expectedOutput"": ""true""}, {""input"": ""word1 =  \""a \"", word2 =  \""aa \"""", ""expectedOutput"": ""false""}, {""input"": ""word1 =  \""cabbba \"", word2 =  \""abbccc \"""", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1658, Minimum Operations to Reduce X to Zero,"['Array', 'Hash Table', 'Binary Search', '2+']",39.80%,False,Medium,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/description,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/solutions,minimum-operations-to-reduce-x-to-zero,"[{""input"": ""nums = [1,1,4,2,3], x = 5"", ""expectedOutput"": ""2""}, {""input"": ""nums = [5,6,7,8,9], x = 4"", ""expectedOutput"": ""-1""}, {""input"": ""nums = [3,2,20,1,1,3], x = 10"", ""expectedOutput"": ""5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1659, Maximize Grid Happiness,"['Dynamic Programming', '3+']",40.10%,False,Hard,https://leetcode.com/problems/maximize-grid-happiness/description,https://leetcode.com/problems/maximize-grid-happiness/solutions,maximize-grid-happiness,"[{""input"": ""m = 2, n = 3, introvertsCount = 1, extrovertsCount = 2"", ""expectedOutput"": ""240""}, {""input"": ""m = 3, n = 1, introvertsCount = 2, extrovertsCount = 1"", ""expectedOutput"": ""260""}, {""input"": ""m = 2, n = 2, introvertsCount = 4, extrovertsCount = 0"", ""expectedOutput"": ""240""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1660, Correct a Binary Tree,"['Hash Table', 'Tree', '3+']",74.40%,True,Medium,https://leetcode.com/problems/correct-a-binary-tree/description,https://leetcode.com/problems/correct-a-binary-tree/solutions,correct-a-binary-tree,"[{""input"": ""root = [1,2,3], fromNode = 2, toNode = 3"", ""expectedOutput"": ""[1,null,3]""}, {""input"": ""root = [8,3,1,7,null,9,4,2,null,null,null,5,6], fromNode = 7, toNode = 4"", ""expectedOutput"": ""[8,3,1,null,null,9,4,null,null,5,6]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1661, Average Time of Process per Machine,['Database'],68.60%,False,Easy,https://leetcode.com/problems/average-time-of-process-per-machine/description,https://leetcode.com/problems/average-time-of-process-per-machine/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1662, Check If Two String Arrays are Equivalent,"['Array', 'String']",85.60%,False,Easy,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/description,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/solutions,check-if-two-string-arrays-are-equivalent,"[{""input"": ""word1 = [ \""ab \"",  \""c \""], word2 = [ \""a \"",  \""bc \""]"", ""expectedOutput"": ""true""}, {""input"": ""word1 = [ \""a \"",  \""cb \""], word2 = [ \""ab \"",  \""c \""]"", ""expectedOutput"": ""false""}, {""input"": ""word1  = [ \""abc \"",  \""d \"",  \""defg \""], word2 = [ \""abcddefg \""]"", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1663, Smallest String With A Given Numeric Value,"['String', 'Greedy']",66.90%,False,Medium,https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/description,https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/solutions,smallest-string-with-a-given-numeric-value,"[{""input"": ""n = 3, k = 27"", ""expectedOutput"": ""\""aay \""""}, {""input"": ""n = 5, k = 73"", ""expectedOutput"": ""\""aaszz \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1664, Ways to Make a Fair Array,"['Array', 'Prefix Sum']",63.80%,False,Medium,https://leetcode.com/problems/ways-to-make-a-fair-array/description,https://leetcode.com/problems/ways-to-make-a-fair-array/solutions,ways-to-make-a-fair-array,"[{""input"": ""nums = [2,1,6,4]"", ""expectedOutput"": ""1""}, {""input"": ""nums = [1,1,1]"", ""expectedOutput"": ""3""}, {""input"": ""nums = [1,2,3]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1665, Minimum Initial Energy to Finish Tasks,"['Array', 'Greedy', 'Sorting']",58.60%,False,Hard,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/description,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/solutions,minimum-initial-energy-to-finish-tasks,"[{""input"": ""tasks = [[1,2],[2,4],[4,8]]"", ""expectedOutput"": ""8""}, {""input"": ""tasks = [[1,3],[2,4],[10,11],[10,12],[8,9]]"", ""expectedOutput"": ""32""}, {""input"": ""tasks = [[1,7],[2,8],[3,9],[4,10],[5,11],[6,12]]"", ""expectedOutput"": ""27""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1666, Change the Root of a Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",74.40%,True,Medium,https://leetcode.com/problems/change-the-root-of-a-binary-tree/description,https://leetcode.com/problems/change-the-root-of-a-binary-tree/solutions,change-the-root-of-a-binary-tree,"[{""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], leaf = 7"", ""expectedOutput"": ""[7,2,null,5,4,3,6,null,null,null,1,null,null,0,8]""}, {""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], leaf = 0"", ""expectedOutput"": ""[0,1,null,3,8,5,null,null,null,6,2,null,null,7,4]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1667, Fix Names in a Table,['Database'],61.40%,False,Easy,https://leetcode.com/problems/fix-names-in-a-table/description,https://leetcode.com/problems/fix-names-in-a-table/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1668, Maximum Repeating Substring,"['String', 'Dynamic Programming', '1+']",39.00%,False,Easy,https://leetcode.com/problems/maximum-repeating-substring/description,https://leetcode.com/problems/maximum-repeating-substring/solutions,maximum-repeating-substring,"[{""input"": ""sequence =  \""ababc \"", word =  \""ab \"""", ""expectedOutput"": ""2""}, {""input"": ""sequence =  \""ababc \"", word =  \""ba \"""", ""expectedOutput"": ""1""}, {""input"": ""sequence =  \""ababc \"", word =  \""ac \"""", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1669, Merge In Between Linked Lists,['Linked List'],81.90%,False,Medium,https://leetcode.com/problems/merge-in-between-linked-lists/description,https://leetcode.com/problems/merge-in-between-linked-lists/solutions,merge-in-between-linked-lists,"[{""input"": ""list1 = [0,1,2,3,4,5], a = 3, b = 4, list2 = [1000000,1000001,1000002]"", ""expectedOutput"": ""[0,1,2,1000000,1000001,1000002,5]""}, {""input"": ""list1 = [0,1,2,3,4,5,6], a = 2, b = 5, list2 = [1000000,1000001,1000002,1000003,1000004]"", ""expectedOutput"": ""[0,1,1000000,1000001,1000002,1000003,1000004,6]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1670, Design Front Middle Back Queue,"['Array', 'Linked List', 'Design', '2+']",56.90%,False,Medium,https://leetcode.com/problems/design-front-middle-back-queue/description,https://leetcode.com/problems/design-front-middle-back-queue/solutions,design-front-middle-back-queue,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1671, Minimum Number of Removals to Make Mountain Array,"['Array', 'Binary Search', '2+']",55.20%,False,Hard,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/description,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/solutions,minimum-number-of-removals-to-make-mountain-array,"[{""input"": ""nums = [1,3,1]"", ""expectedOutput"": ""0""}, {""input"": ""nums = [2,1,1,5,6,2,3,1]"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1672, Richest Customer Wealth,"['Array', 'Matrix']",88.30%,False,Easy,https://leetcode.com/problems/richest-customer-wealth/description,https://leetcode.com/problems/richest-customer-wealth/solutions,richest-customer-wealth,"[{""input"": ""accounts = [[1,2,3],[3,2,1]]"", ""expectedOutput"": ""6""}, {""input"": ""accounts = [[1,5],[7,3],[3,5]]"", ""expectedOutput"": ""10""}, {""input"": ""accounts = [[2,8,7],[7,1,3],[1,9,5]]"", ""expectedOutput"": ""17""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1673, Find the Most Competitive Subsequence,"['Array', 'Stack', 'Greedy', '1+']",51.10%,False,Medium,https://leetcode.com/problems/find-the-most-competitive-subsequence/description,https://leetcode.com/problems/find-the-most-competitive-subsequence/solutions,find-the-most-competitive-subsequence,"[{""input"": ""nums = [3,5,2,6], k = 2"", ""expectedOutput"": ""[2,6]""}, {""input"": ""nums = [2,4,3,3,5,4,9,6], k = 4"", ""expectedOutput"": ""[2,3,3,4]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1674, Minimum Moves to Make Array Complementary,"['Array', 'Hash Table', 'Prefix Sum']",40.70%,False,Medium,https://leetcode.com/problems/minimum-moves-to-make-array-complementary/description,https://leetcode.com/problems/minimum-moves-to-make-array-complementary/solutions,minimum-moves-to-make-array-complementary,"[{""input"": ""nums = [1,2,4,3], limit = 4"", ""expectedOutput"": ""1""}, {""input"": ""nums = [1,2,2,1], limit = 2"", ""expectedOutput"": ""2""}, {""input"": ""nums = [1,2,1,2], limit = 2"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1675, Minimize Deviation in Array,"['Array', 'Greedy', '2+']",54.00%,False,Hard,https://leetcode.com/problems/minimize-deviation-in-array/description,https://leetcode.com/problems/minimize-deviation-in-array/solutions,minimize-deviation-in-array,"[{""input"": ""nums = [1,2,3,4]"", ""expectedOutput"": ""1""}, {""input"": ""nums = [4,1,5,20,3]"", ""expectedOutput"": ""3""}, {""input"": ""nums = [2,10,8]"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1676, Lowest Common Ancestor of a Binary Tree IV,"['Hash Table', 'Tree', '2+']",78.60%,True,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/description,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/solutions,lowest-common-ancestor-of-a-binary-tree-iv,"[{""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], nodes = [4,7]"", ""expectedOutput"": ""2""}, {""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], nodes = [1]"", ""expectedOutput"": ""1""}, {""input"": ""root = [3,5,1,6,2,0,8,null,null,7,4], nodes = [7,6,2,4]"", ""expectedOutput"": ""5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1677, Product's Worth Over Invoices,['Database'],38.30%,True,Easy,https://leetcode.com/problems/product's-worth-over-invoices/description,https://leetcode.com/problems/product's-worth-over-invoices/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1678, Goal Parser Interpretation,['String'],87.50%,False,Easy,https://leetcode.com/problems/goal-parser-interpretation/description,https://leetcode.com/problems/goal-parser-interpretation/solutions,goal-parser-interpretation,"[{""input"": ""command =  \""G()(al) \"""", ""expectedOutput"": ""\""Goal \""""}, {""input"": ""command =  \""G()()()()(al) \"""", ""expectedOutput"": ""\""Gooooal \""""}, {""input"": ""command =  \""(al)G(al)()()G \"""", ""expectedOutput"": ""\""alGalooG \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1679, Max Number of K-Sum Pairs,"['Array', 'Hash Table', 'Two Pointers', '1+']",55.40%,False,Medium,https://leetcode.com/problems/max-number-of-k-sum-pairs/description,https://leetcode.com/problems/max-number-of-k-sum-pairs/solutions,max-number-of-k-sum-pairs,"[{""input"": ""nums = [1,2,3,4], k = 5"", ""expectedOutput"": ""2""}, {""input"": ""nums = [3,1,3,4,3], k = 6"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1680, Concatenation of Consecutive Binary Numbers,"['Math', 'Bit Manipulation', 'Simulation']",57.20%,False,Medium,https://leetcode.com/problems/concatenation-of-consecutive-binary-numbers/description,https://leetcode.com/problems/concatenation-of-consecutive-binary-numbers/solutions,concatenation-of-consecutive-binary-numbers,"[{""input"": ""n = 1"", ""expectedOutput"": ""1""}, {""input"": ""n = 3"", ""expectedOutput"": ""27""}, {""input"": ""n = 12"", ""expectedOutput"": ""505379714""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1681, Minimum Incompatibility,"['Array', 'Dynamic Programming', '2+']",39.40%,False,Hard,https://leetcode.com/problems/minimum-incompatibility/description,https://leetcode.com/problems/minimum-incompatibility/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1682, Longest Palindromic Subsequence II,"['String', 'Dynamic Programming']",50.00%,True,Medium,https://leetcode.com/problems/longest-palindromic-subsequence-ii/description,https://leetcode.com/problems/longest-palindromic-subsequence-ii/solutions,longest-palindromic-subsequence-ii,"[{""input"": ""s =  \""bbabab \"""", ""expectedOutput"": ""4""}, {""input"": ""s =  \""dcbccacdb \"""", ""expectedOutput"": ""4""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1683, Invalid Tweets,['Database'],85.60%,False,Easy,https://leetcode.com/problems/invalid-tweets/description,https://leetcode.com/problems/invalid-tweets/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1684, Count the Number of Consistent Strings,"['Array', 'Hash Table', 'String', '2+']",88.10%,False,Easy,https://leetcode.com/problems/count-the-number-of-consistent-strings/description,https://leetcode.com/problems/count-the-number-of-consistent-strings/solutions,count-the-number-of-consistent-strings,"[{""input"": ""allowed =  \""ab \"", words = [ \""ad \"", \""bd \"", \""aaab \"", \""baa \"", \""badab \""]"", ""expectedOutput"": ""2""}, {""input"": ""allowed =  \""abc \"", words = [ \""a \"", \""b \"", \""c \"", \""ab \"", \""ac \"", \""bc \"", \""abc \""]"", ""expectedOutput"": ""7""}, {""input"": ""allowed =  \""cad \"", words = [ \""cc \"", \""acd \"", \""b \"", \""ba \"", \""bac \"", \""bad \"", \""ac \"", \""d \""]"", ""expectedOutput"": ""4""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1685, Sum of Absolute Differences in a Sorted Array,"['Array', 'Math', 'Prefix Sum']",68.30%,False,Medium,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array/description,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array/solutions,sum-of-absolute-differences-in-a-sorted-array,"[{""input"": ""nums = [2,3,5]"", ""expectedOutput"": ""[4,3,5]""}, {""input"": ""nums = [1,4,6,8,10]"", ""expectedOutput"": ""[24,15,13,15,21]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1686, Stone Game VI,"['Array', 'Math', 'Greedy', '3+']",57.90%,False,Medium,https://leetcode.com/problems/stone-game-vi/description,https://leetcode.com/problems/stone-game-vi/solutions,stone-game-vi,"[{""input"": ""aliceValues = [1,3], bobValues = [2,1]"", ""expectedOutput"": ""1""}, {""input"": ""aliceValues = [1,2], bobValues = [3,1]"", ""expectedOutput"": ""0""}, {""input"": ""aliceValues = [2,4,3], bobValues = [1,6,7]"", ""expectedOutput"": ""-1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1687, Delivering Boxes from Storage to Ports,"['Array', 'Dynamic Programming', '5+']",39.00%,False,Hard,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports/description,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports/solutions,delivering-boxes-from-storage-to-ports,"[{""input"": ""boxes = [[1,1],[2,1],[1,1]], portsCount = 2, maxBoxes = 3, maxWeight = 3"", ""expectedOutput"": ""4""}, {""input"": ""boxes = [[1,2],[3,3],[3,1],[3,1],[2,4]], portsCount = 3, maxBoxes = 3, maxWeight = 6"", ""expectedOutput"": ""6""}, {""input"": ""boxes = [[1,4],[1,2],[2,1],[2,1],[3,2],[3,4]], portsCount = 3, maxBoxes = 6, maxWeight = 7"", ""expectedOutput"": ""6""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1688, Count of Matches in Tournament,"['Math', 'Simulation']",85.70%,False,Easy,https://leetcode.com/problems/count-of-matches-in-tournament/description,https://leetcode.com/problems/count-of-matches-in-tournament/solutions,count-of-matches-in-tournament,"[{""input"": ""n = 7"", ""expectedOutput"": ""6""}, {""input"": ""n = 14"", ""expectedOutput"": ""13""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1689, Partitioning Into Minimum Number Of Deci-Binary Numbers,"['String', 'Greedy']",88.80%,False,Medium,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/description,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/solutions,partitioning-into-minimum-number-of-deci-binary-numbers,"[{""input"": ""n =  \""32 \"""", ""expectedOutput"": ""3""}, {""input"": ""n =  \""82734 \"""", ""expectedOutput"": ""8""}, {""input"": ""n =  \""27346209830709182346 \"""", ""expectedOutput"": ""9""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1690, Stone Game VII,"['Array', 'Math', '2+']",58.20%,False,Medium,https://leetcode.com/problems/stone-game-vii/description,https://leetcode.com/problems/stone-game-vii/solutions,stone-game-vii,"[{""input"": ""stones = [5,3,1,4,2]"", ""expectedOutput"": ""6""}, {""input"": ""stones = [7,90,5,1,100,10,10,2]"", ""expectedOutput"": ""122""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1691, Maximum Height by Stacking Cuboids,"['Array', 'Dynamic Programming', 'Sorting']",58.80%,False,Hard,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/description,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1692, Count Ways to Distribute Candies,['Dynamic Programming'],62.60%,True,Hard,https://leetcode.com/problems/count-ways-to-distribute-candies/description,https://leetcode.com/problems/count-ways-to-distribute-candies/solutions,count-ways-to-distribute-candies,"[{""input"": ""n = 3, k = 2"", ""expectedOutput"": ""3""}, {""input"": ""n = 4, k = 2"", ""expectedOutput"": ""7""}, {""input"": ""n = 20, k = 5"", ""expectedOutput"": ""206085257""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
1693, Daily Leads and Partners,['Database'],86.60%,False,Easy,https://leetcode.com/problems/daily-leads-and-partners/description,https://leetcode.com/problems/daily-leads-and-partners/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
1694, Reformat Phone Number,['String'],66.50%,False,Easy,https://leetcode.com/problems/reformat-phone-number/description,https://leetcode.com/problems/reformat-phone-number/solutions,reformat-phone-number,"[{""input"": ""number =  \""1-23-45 6 \"""", ""expectedOutput"": ""\""123-456 \""""}, {""input"": ""number =  \""123 4-567 \"""", ""expectedOutput"": ""\""123-45-67 \""""}, {""input"": ""number =  \""123 4-5678 \"""", ""expectedOutput"": ""\""123-456-78 \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
